year,city,country,avg_mkkah_temp,avg_global_temp,Makkah 5 years MA,Global 5 years MA
1861,Mecca,Saudi Arabia,23.98,7.85,,
1862,Mecca,Saudi Arabia,24.13,7.56,,
1863,Mecca,Saudi Arabia,22.87,8.11,,
1864,Mecca,Saudi Arabia,25.43,7.98,,
1865,Mecca,Saudi Arabia,25.6,8.18,24.402,7.936
1866,Mecca,Saudi Arabia,25.42,8.29,24.69,8.024
1867,Mecca,Saudi Arabia,25.62,8.44,24.988,8.2
1868,Mecca,Saudi Arabia,25.3,8.25,25.474,8.228
1869,Mecca,Saudi Arabia,25.65,8.43,25.518,8.318
1870,Mecca,Saudi Arabia,25.35,8.2,25.468,8.322
1871,Mecca,Saudi Arabia,24.97,8.12,25.378,8.288
1872,Mecca,Saudi Arabia,25.2,8.19,25.294,8.238
1873,Mecca,Saudi Arabia,25.57,8.35,25.348,8.258
1874,Mecca,Saudi Arabia,25.32,8.43,25.282,8.258
1875,Mecca,Saudi Arabia,24.53,7.86,25.118,8.19
1876,Mecca,Saudi Arabia,25.13,8.08,25.15,8.182
1877,Mecca,Saudi Arabia,25.81,8.54,25.272,8.252
1878,Mecca,Saudi Arabia,25.94,8.83,25.346,8.348
1879,Mecca,Saudi Arabia,25.57,8.17,25.396,8.296
1880,Mecca,Saudi Arabia,25.42,8.12,25.574,8.348
1881,Mecca,Saudi Arabia,26.06,8.27,25.76,8.386
1882,Mecca,Saudi Arabia,25.09,8.13,25.616,8.304
1883,Mecca,Saudi Arabia,25.36,7.98,25.5,8.134
1884,Mecca,Saudi Arabia,25.03,7.77,25.392,8.054
1885,Mecca,Saudi Arabia,25.33,7.92,25.374,8.014
1886,Mecca,Saudi Arabia,25.13,7.95,25.188,7.95
1887,Mecca,Saudi Arabia,25.08,7.91,25.186,7.906
1888,Mecca,Saudi Arabia,25.21,8.09,25.156,7.928
1889,Mecca,Saudi Arabia,25.88,8.32,25.326,8.038
1890,Mecca,Saudi Arabia,25.79,7.97,25.418,8.048
1891,Mecca,Saudi Arabia,25.88,8.02,25.568,8.062
1892,Mecca,Saudi Arabia,25.39,8.07,25.63,8.094
1893,Mecca,Saudi Arabia,25.42,8.06,25.672,8.088
1894,Mecca,Saudi Arabia,25,8.16,25.496,8.056
1895,Mecca,Saudi Arabia,24.96,8.15,25.33,8.092
1896,Mecca,Saudi Arabia,25.24,8.21,25.202,8.13
1897,Mecca,Saudi Arabia,25.27,8.29,25.178,8.174
1898,Mecca,Saudi Arabia,25.59,8.18,25.212,8.198
1899,Mecca,Saudi Arabia,25.57,8.4,25.326,8.246
1900,Mecca,Saudi Arabia,25.5,8.5,25.434,8.316
1901,Mecca,Saudi Arabia,25.79,8.54,25.544,8.382
1902,Mecca,Saudi Arabia,25.42,8.3,25.574,8.384
1903,Mecca,Saudi Arabia,25.03,8.22,25.462,8.392
1904,Mecca,Saudi Arabia,25.4,8.09,25.428,8.33
1905,Mecca,Saudi Arabia,25.12,8.23,25.352,8.276
1906,Mecca,Saudi Arabia,25.26,8.38,25.246,8.244
1907,Mecca,Saudi Arabia,24.98,7.95,25.158,8.174
1908,Mecca,Saudi Arabia,25.23,8.19,25.198,8.168
1909,Mecca,Saudi Arabia,25.95,8.18,25.308,8.186
1910,Mecca,Saudi Arabia,25.18,8.22,25.32,8.184
1911,Mecca,Saudi Arabia,24.85,8.18,25.238,8.144
1912,Mecca,Saudi Arabia,25.05,8.17,25.252,8.188
1913,Mecca,Saudi Arabia,24.75,8.3,25.156,8.21
1914,Mecca,Saudi Arabia,25.38,8.59,25.042,8.292
1915,Mecca,Saudi Arabia,25.88,8.59,25.182,8.366
1916,Mecca,Saudi Arabia,25.36,8.23,25.284,8.376
1917,Mecca,Saudi Arabia,25.27,8.02,25.328,8.346
1918,Mecca,Saudi Arabia,25.25,8.13,25.428,8.312
1919,Mecca,Saudi Arabia,26.01,8.38,25.554,8.27
1920,Mecca,Saudi Arabia,25.17,8.36,25.412,8.224
1921,Mecca,Saudi Arabia,25.17,8.57,25.374,8.292
1922,Mecca,Saudi Arabia,25.66,8.41,25.452,8.37
1923,Mecca,Saudi Arabia,25.51,8.42,25.504,8.428
1924,Mecca,Saudi Arabia,25.96,8.51,25.494,8.454
1925,Mecca,Saudi Arabia,25.51,8.53,25.562,8.488
1926,Mecca,Saudi Arabia,25.53,8.73,25.634,8.52
1927,Mecca,Saudi Arabia,25.82,8.52,25.666,8.542
1928,Mecca,Saudi Arabia,26.05,8.63,25.774,8.584
1929,Mecca,Saudi Arabia,25.92,8.24,25.766,8.53
1930,Mecca,Saudi Arabia,25.76,8.63,25.816,8.55
1931,Mecca,Saudi Arabia,25.9,8.72,25.89,8.548
1932,Mecca,Saudi Arabia,25.45,8.71,25.816,8.586
1933,Mecca,Saudi Arabia,25.21,8.34,25.648,8.528
1934,Mecca,Saudi Arabia,25.53,8.63,25.57,8.606
1935,Mecca,Saudi Arabia,25.9,8.52,25.598,8.584
1936,Mecca,Saudi Arabia,25.75,8.55,25.568,8.55
1937,Mecca,Saudi Arabia,25.61,8.7,25.6,8.548
1938,Mecca,Saudi Arabia,25.31,8.86,25.62,8.652
1939,Mecca,Saudi Arabia,25.72,8.76,25.658,8.678
1940,Mecca,Saudi Arabia,25.92,8.76,25.662,8.726
1941,Mecca,Saudi Arabia,26,8.77,25.712,8.77
1942,Mecca,Saudi Arabia,26.07,8.73,25.804,8.776
1943,Mecca,Saudi Arabia,25.21,8.76,25.784,8.756
1944,Mecca,Saudi Arabia,25.85,8.85,25.81,8.774
1945,Mecca,Saudi Arabia,25.69,8.58,25.764,8.738
1946,Mecca,Saudi Arabia,25.65,8.68,25.694,8.72
1947,Mecca,Saudi Arabia,26.13,8.8,25.706,8.734
1948,Mecca,Saudi Arabia,25.11,8.75,25.686,8.732
1949,Mecca,Saudi Arabia,25.11,8.59,25.538,8.68
1950,Mecca,Saudi Arabia,25.89,8.37,25.578,8.638
1951,Mecca,Saudi Arabia,25.96,8.63,25.64,8.628
1952,Mecca,Saudi Arabia,26.31,8.64,25.676,8.596
1953,Mecca,Saudi Arabia,26.15,8.87,25.884,8.62
1954,Mecca,Saudi Arabia,26.16,8.56,26.094,8.614
1955,Mecca,Saudi Arabia,25.65,8.63,26.046,8.666
1956,Mecca,Saudi Arabia,25.66,8.28,25.986,8.596
1957,Mecca,Saudi Arabia,25.51,8.73,25.826,8.614
1958,Mecca,Saudi Arabia,26.29,8.77,25.854,8.594
1959,Mecca,Saudi Arabia,25.26,8.73,25.674,8.628
1960,Mecca,Saudi Arabia,26.33,8.58,25.81,8.618
1961,Mecca,Saudi Arabia,25.87,8.8,25.852,8.722
1962,Mecca,Saudi Arabia,26.11,8.75,25.972,8.726
1963,Mecca,Saudi Arabia,26.1,8.86,25.934,8.744
1964,Mecca,Saudi Arabia,25.44,8.41,25.97,8.68
1965,Mecca,Saudi Arabia,25.76,8.53,25.856,8.67
1966,Mecca,Saudi Arabia,26.19,8.6,25.92,8.63
1967,Mecca,Saudi Arabia,25.33,8.7,25.764,8.62
1968,Mecca,Saudi Arabia,25.26,8.52,25.596,8.552
1969,Mecca,Saudi Arabia,26.09,8.6,25.726,8.59
1970,Mecca,Saudi Arabia,25.92,8.7,25.758,8.624
1971,Mecca,Saudi Arabia,24.96,8.6,25.512,8.624
1972,Mecca,Saudi Arabia,25.53,8.5,25.552,8.584
1973,Mecca,Saudi Arabia,25.98,8.95,25.696,8.67
1974,Mecca,Saudi Arabia,25.47,8.47,25.572,8.644
1975,Mecca,Saudi Arabia,25.34,8.74,25.456,8.652
1976,Mecca,Saudi Arabia,25.56,8.35,25.576,8.602
1977,Mecca,Saudi Arabia,26.11,8.85,25.692,8.672
1978,Mecca,Saudi Arabia,26.12,8.69,25.72,8.62
1979,Mecca,Saudi Arabia,26.55,8.73,25.936,8.672
1980,Mecca,Saudi Arabia,26.32,8.98,26.132,8.72
1981,Mecca,Saudi Arabia,26.19,9.17,26.258,8.884
1982,Mecca,Saudi Arabia,25.04,8.64,26.044,8.842
1983,Mecca,Saudi Arabia,25.4,9.03,25.9,8.91
1984,Mecca,Saudi Arabia,25.19,8.69,25.628,8.902
1985,Mecca,Saudi Arabia,25.36,8.66,25.436,8.838
1986,Mecca,Saudi Arabia,25.64,8.83,25.326,8.77
1987,Mecca,Saudi Arabia,26.35,8.99,25.588,8.84
1988,Mecca,Saudi Arabia,26.34,9.2,25.776,8.874
1989,Mecca,Saudi Arabia,25.47,8.92,25.832,8.92
1990,Mecca,Saudi Arabia,25.86,9.23,25.932,9.034
1991,Mecca,Saudi Arabia,25.94,9.18,25.992,9.104
1992,Mecca,Saudi Arabia,24.74,8.84,25.67,9.074
1993,Mecca,Saudi Arabia,25.9,8.87,25.582,9.008
1994,Mecca,Saudi Arabia,26.26,9.04,25.74,9.032
1995,Mecca,Saudi Arabia,26.33,9.35,25.834,9.056
1996,Mecca,Saudi Arabia,26.37,9.04,25.92,9.028
1997,Mecca,Saudi Arabia,25.88,9.2,26.148,9.1
1998,Mecca,Saudi Arabia,26.48,9.52,26.264,9.23
1999,Mecca,Saudi Arabia,26.75,9.29,26.362,9.28
2000,Mecca,Saudi Arabia,26.62,9.2,26.42,9.25
2001,Mecca,Saudi Arabia,26.6,9.41,26.466,9.324
2002,Mecca,Saudi Arabia,26.63,9.57,26.616,9.398
2003,Mecca,Saudi Arabia,26.87,9.53,26.694,9.4
2004,Mecca,Saudi Arabia,26.53,9.32,26.65,9.406
2005,Mecca,Saudi Arabia,26.47,9.7,26.62,9.506
2006,Mecca,Saudi Arabia,26.42,9.53,26.584,9.53
2007,Mecca,Saudi Arabia,26.58,9.73,26.574,9.562
2008,Mecca,Saudi Arabia,26.64,9.43,26.528,9.542
2009,Mecca,Saudi Arabia,26.9,9.51,26.602,9.58
2010,Mecca,Saudi Arabia,27.3,9.7,26.768,9.58
2011,Mecca,Saudi Arabia,26.57,9.52,26.798,9.578
2012,Mecca,Saudi Arabia,27.02,9.51,26.886,9.534
2013,Mecca,Saudi Arabia,27.57,9.61,27.072,9.57
